File Name:,C:\Documents and Settings\Tyler\Desktop\augAPTtest\OCT TEST\RTI321001N_DUMMYraw.csv
Download Date:,11/02/2016
Total Download Time (s):,12.5

Device Serial #:,
Date/Time Hardware:,1/1/0001
Date/Time Software:,9/2/2016,v2.0.6089.14139
Participant ID#:,
Filter ID#:,
Participant Weight (kg),NA
Inlet Aerosol Size:,N/A
Laser Cycling Variables:Delay - Sampling time - Off time,0,0,0
System Times,,
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,62,0
Temperature,1.0000,52,0
Humidity,1.0000,-2,0
Inlet Pressure,4095.0000,0,0,0,0
Orifice Pressure,4095.0000,0,0,0,0
Flow,,,0,0,0,0
Accelerometer,,,0
Battery,,,0
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid


10/26/2016,09:59:52,,,,,,,,,,,,,Manual Stop in Pump Test Menu,,
10/26/2016,09:59:56,,,,,,,,,,,,,USB was disconnected,,
10/26/2016,10:00:00,,,,,4.7,,,,,,,,,,
10/26/2016,10:44:25,,,,,,,,,,,,,USB was connected,,
10/26/2016,10:44:33,,,,,,,,,,,,,Manual Stop in Pump Test Menu,,
10/26/2016,10:44:34,,,,,,,,,,,,,Set Time,,
10/26/2016,10:44:42,,,,,,,,,,,,,Manual Stop in Pump Test Menu,,
10/26/2016,10:44:43,,,,,,,,,,,,,Commit to flash,,
10/26/2016,10:44:44,,,,,,,,,,,,,Commit to flash,,
10/26/2016,10:44:44,,,,,,,,,,,,,Commit to flash,,
10/26/2016,10:44:46,,,,,,,,,,,,,Commit to flash,,
10/26/2016,10:44:52,,,,,,,,,,,,,Manual Stop in Pump Test Menu,,
10/26/2016,10:44:52,,,,,,,,,,,,,Manual Stop in Pump Test Menu,,
10/26/2016,10:44:54,,,,,,,,,,,,,USB was disconnected,,
10/26/2016,11:00:00,,,,,4.7,,,,,,,,,,
10/26/2016,11:23:46,,,,,,,,,,,,,Button 1 pressed,,
10/26/2016,11:23:49,,,18.0,,,0.00,0.00,0.60,0.91,-0.04,0.45,1.02,Button 1 pressed,,
10/26/2016,11:23:50,,,,,,,,,0.90,-0.04,0.45,1.01,,,
10/26/2016,11:23:55,,,,,,,,,0.99,-0.02,0.02,0.99,,,
10/26/2016,11:24:00,,,,,,,,,0.99,-0.02,0.02,0.99,,,
10/26/2016,11:24:05,,,,,,,,,0.99,-0.02,0.02,0.99,,,
10/26/2016,11:24:10,2207.409,2210.210,19.1,40.9,4.8,0.00,0.00,0.60,0.99,-0.02,0.02,0.99,,,
10/26/2016,11:24:15,,,,,,,,,0.99,-0.02,0.02,0.99,,,
10/26/2016,11:24:20,2210.344,2214.552,,40.6,,,,,0.99,-0.02,0.02,0.99,,,
10/26/2016,11:24:25,,,,,,,,,0.99,-0.02,0.02,0.99,,,
