timestamp,breathing_rate (/api/v1/datatype/33/),heart_rate (/api/v1/datatype/19/),minute_ventilation (/api/v1/datatype/36/),cadence (/api/v1/datatype/53/),activity (/api/v1/datatype/49/)
362311840263,10,70,0.0,0,0.0
362311840519,10,70,0.0,0,0.0
362311840775,10,70,0.0,0,0.0
362311841031,10,70,0.0,0,0.44921875
362311841287,10,70,0.0,0,0.203125
362311841543,10,70,0.0,0,0.140625
362311841799,10,70,0.0,0,0.10546875
362311842055,11,70,6706.4,0,0.1328125
362311842311,14,70,6706.4,0,0.16015625
362311842567,16,70,6706.4,0,0.05859375
362311842823,17,70,5843.2,0,0.11328125
362311843079,17,70,5843.2,0,0.15234375
362311843335,17,70,5843.2,0,0.08984375
362311843591,16,70,5843.2,0,0.25390625
362311843847,16,70,5843.2,0,0.390625
362311844103,16,70,6666.56,0,0.07421875
362311844359,16,70,7835.2,0,0.03515625
362311844615,17,70,7835.2,0,0.06640625
362311844871,18,70,7994.56,0,0.0625
362311845127,19,70,7994.56,0,0.015625
362311845383,20,70,7994.56,0,0.0546875
362311845639,20,70,7994.56,0,0.078125
362311845895,20,70,10132.64,0,0.04296875
362311846151,19,70,10132.64,0,0.0234375
362311846407,19,70,10132.64,0,0.03125
362311846663,18,70,9574.88,0,0.0546875
362311846919,19,70,9574.88,0,0.11328125
362311847175,19,70,9574.88,0,0.11328125
362311847431,19,70,9574.88,0,0.10546875
362311847687,19,70,9402.24,0,0.015625
362311847943,19,70,9402.24,0,0.08984375
362311848199,19,70,10199.04,0,0.015625
362311848455,20,70,10199.04,0,0.01953125
362311848711,21,70,10531.04,0,0.015625
362311848967,22,70,10531.04,0,0.015625
362311849223,23,70,10531.04,0,0.015625
362311849479,23,70,10531.04,0,0.015625
362311849735,23,70,8817.92,0,0.015625
362311849991,21,70,8817.92,0,0.0
362311850247,20,70,8817.92,0,0.0
362311850503,20,70,8207.04,0,0.015625
362311850759,19,70,8207.04,0,0.015625
362311851015,19,70,5617.44,0,0.0
362311851271,20,70,5617.44,0,0.015625
362311851527,21,70,5617.44,0,0.0
362311851783,21,70,5524.48,0,0.0
362311852039,21,70,5524.48,0,0.015625
362311852295,21,70,5524.48,0,0.015625
362311852551,21,70,5524.48,0,0.015625
362311852807,21,70,5312.0,0,0.0
362311853063,21,70,5312.0,0,0.0
362311853319,21,70,5312.0,0,0.0
362311853575,20,70,5312.0,0,0.015625
362311853831,20,70,5312.0,0,0.046875
362311854087,20,70,4661.28,0,0.09765625
362311854343,19,70,4661.28,0,0.02734375
362311854599,18,70,4316.0,0,0.04296875
362311854855,18,70,4316.0,0,0.01953125
362311855111,18,70,4316.0,0,0.03515625
362311855367,18,70,4316.0,0,0.10546875
362311855623,18,70,4316.0,0,0.03125
362311855879,18,70,4316.0,0,0.03515625
362311856135,18,70,4316.0,0,0.078125
362311856391,18,70,3944.16,0,0.04296875
362311856647,17,70,3944.16,0,0.015625
362311856903,16,70,3944.16,0,0.015625
362311857159,16,70,4701.12,0,0.015625
362311857415,16,70,4701.12,0,0.03125
362311857671,16,70,5604.16,0,0.015625
362311857927,16,70,5604.16,0,0.015625
362311858183,16,70,5604.16,0,0.015625
362311858439,16,70,5604.16,0,0.03515625
362311858695,16,70,7410.24,0,0.14453125
362311858951,16,70,7410.24,0,0.24609375
362311859207,16,70,7768.8,0,0.1640625
362311859463,16,70,7768.8,0,0.01953125
362311859719,17,70,7768.8,0,0.0234375
362311859975,17,70,7768.8,0,0.015625
362311860231,17,70,7768.8,0,0.015625
362311860487,17,70,7768.8,0,0.046875
362311860743,17,70,7768.8,0,0.09765625
362311860999,17,70,7768.8,0,0.015625
362311861255,17,70,7768.8,0,0.015625
362311861511,17,70,7768.8,0,0.015625
362311861767,17,70,7768.8,0,0.015625
362311862023,16,70,6440.8,0,0.015625
362311862279,15,70,6440.8,0,0.015625
362311862535,14,70,6440.8,0,0.015625
362311862791,13,70,6294.72,0,0.015625
362311863047,13,70,6294.72,0,0.01953125
362311863303,13,70,6294.72,0,0.01953125
362311863559,13,70,6294.72,0,0.01953125
362311863815,13,70,6294.72,0,0.015625
362311864071,13,70,6945.44,0,0.015625
362311864327,14,70,6945.44,0,0.015625
362311864583,14,70,6945.44,0,0.015625
362311864839,14,70,6945.44,0,0.015625
362311865095,14,70,6945.44,0,0.078125
362311865351,14,70,6945.44,0,0.03515625
362311865607,14,70,5697.12,0,0.0859375
362311865863,13,70,5697.12,0,0.015625
362311866119,13,70,5697.12,0,0.015625
362311866375,12,70,5697.12,0,0.015625
362311866631,12,70,5697.12,0,0.015625
362311866887,12,70,5484.64,0,0.0234375
362311867143,12,70,5484.64,0,0.01953125
362311867399,12,70,3970.72,0,0.0625
362311867655,12,70,3970.72,0,0.02734375
362311867911,12,70,3970.72,0,0.01953125
362311868167,12,70,3944.16,0,0.015625
362311868423,13,70,4740.96,0,0.015625
362311868679,15,70,4740.96,0,0.0
362311868935,16,70,4740.96,0,0.015625
362311869191,17,70,4767.52,0,0.015625
362311869447,17,70,4767.52,0,0.015625
362311869703,17,70,4767.52,0,0.015625
362311869959,17,70,4555.04,0,0.01953125
362311870215,18,70,4555.04,0,0.015625
362311870471,18,70,4555.04,0,0.015625
362311870727,19,70,5219.04,0,0.015625
362311870983,20,70,5219.04,0,0.015625
362311871239,22,70,5086.24,0,0.02734375
362311871495,24,70,5086.24,0,0.01953125
362311871751,25,70,6042.4,0,0.0234375
362311872007,25,70,6042.4,0,0.03125
362311872263,25,70,6042.4,0,0.0234375
362311872519,25,70,7277.44,0,0.03125
362311872775,24,70,7277.44,0,0.01953125
362311873031,24,70,7277.44,0,0.04296875
362311873287,24,70,7450.08,0,0.0546875
362311873543,23,70,7450.08,0,0.0546875
362311873799,23,70,7463.36,0,0.0390625
362311874055,24,70,7463.36,0,0.0390625
362311874311,24,70,8857.76,0,0.03515625
362311874567,24,70,8857.76,0,0.0234375
362311874823,24,70,9853.76,0,0.05859375
