AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
,,,,,,,,,,,,
7/10/14,12:33:00,860853,815320,5.434,49,28,0,100,,,,
7/10/14,12:33:30,867871,821855,5.448,48,28,0,100,3219,,,
7/10/14,12:34:00,867888,821850,5.45,49,28,0,100,595,,,
7/10/14,12:34:30,867911,821813,5.458,48,28,0,100,1693,,,
7/10/14,12:35:00,867942,821833,5.459,48,28,0,100,269,,,
7/10/14,12:35:30,867989,821879,5.459,48,29,0,100,-43,,,
7/10/14,12:36:00,867896,821797,5.458,49,29,0,100,-171,,,
7/10/14,12:36:30,867944,821845,5.458,48,29,0,100,-73,,,
7/10/14,12:37:00,867868,821768,5.458,49,29,0,100,142,,,
7/10/14,12:37:30,867797,821694,5.459,48,29,0,100,195,,,
7/10/14,12:38:00,867855,821732,5.461,48,29,0,100,487,,,
7/10/14,12:38:30,867841,821705,5.463,48,29,0,100,396,,,
7/10/14,12:39:00,867880,821722,5.465,48,29,0,100,574,,,
7/10/14,12:39:30,867868,821647,5.473,48,30,0,100,1833,,,
7/10/14,12:40:00,867791,821503,5.482,48,30,0,100,2048,,,
7/10/14,12:40:30,867797,821446,5.489,48,30,0,100,1806,,,
7/10/14,12:41:00,867768,821363,5.496,48,30,0,100,1601,,,
7/10/14,12:41:30,867773,821329,5.501,49,30,0,100,1093,,,
7/10/14,12:42:00,867850,821390,5.502,48,30,0,100,342,,,
7/10/14,12:42:30,867870,821407,5.502,48,30,0,100,56,,,
7/10/14,12:43:00,867893,821439,5.501,48,30,0,100,-295,,,
7/10/14,12:43:30,867889,821454,5.499,48,30,0,100,-541,,,
7/10/14,12:44:00,867789,821357,5.499,48,30,0,100,68,,,
7/10/14,12:44:30,867806,821382,5.498,48,30,0,100,-257,,,
7/10/14,12:45:00,867802,821374,5.499,48,30,0,100,121,,,
