time [s],RR_interval_quality_epoch [na] (/api/datatype/1004/)
5.00000000,146
6.00000000,146
6.00000000,146
6.00000000,146
7.00000000,146
8.00000000,146
9.00000000,146
9.00000000,18
9.00000000,18
10.00000000,146
11.00000000,18
12.00000000,18
12.00000000,18
13.00000000,18
13.00000000,146
14.00000000,18
15.00000000,146
16.00000000,18
16.00000000,146
17.00000000,18
18.00000000,146
18.00000000,18
19.00000000,18
20.00000000,18
21.00000000,18
22.00000000,18
23.00000000,18
24.00000000,18
25.00000000,18
26.00000000,146
27.00000000,18
29.00000000,18
29.00000000,146
30.00000000,146
30.00000000,146
32.00000000,18
32.00000000,146
33.00000000,146
34.00000000,146
34.00000000,146
37.00000000,146
37.00000000,146
38.00000000,146
39.00000000,18
40.00000000,146
42.00000000,18
43.00000000,18
43.00000000,18
44.00000000,146
45.00000000,146
46.00000000,146
46.00000000,18
47.00000000,146
47.00000000,146
49.00000000,146
49.00000000,18
50.00000000,146
51.00000000,18
52.00000000,18
53.00000000,18
53.00000000,18
54.00000000,18
55.00000000,18
55.00000000,18
56.00000000,18
58.00000000,146
58.00000000,146
58.00000000,146
59.00000000,18
59.00000000,146
60.00000000,18
60.00000000,146
61.00000000,18
61.00000000,146
62.00000000,18
63.00000000,18
64.00000000,18
65.00000000,18
65.00000000,146
66.00000000,18
66.00000000,18
67.00000000,18
68.00000000,18
71.00000000,146
72.00000000,18
73.00000000,18
74.00000000,18
74.00000000,18
76.00000000,146
78.00000000,146
78.00000000,18
80.00000000,18
80.00000000,18
80.00000000,146
81.00000000,18
82.00000000,146
84.00000000,18
84.00000000,146
85.00000000,146
86.00000000,18
87.00000000,146
88.00000000,18
89.00000000,146
90.00000000,18
92.00000000,18
92.00000000,146
93.00000000,146
93.00000000,146
94.00000000,146
95.00000000,18
95.00000000,146
96.00000000,146
96.00000000,18
96.00000000,146
97.00000000,146
97.00000000,18
98.00000000,18
98.00000000,18
99.00000000,18
100.00000000,18
100.00000000,18
101.00000000,146
102.00000000,146
104.00000000,18
104.00000000,18
106.00000000,146
106.00000000,18
107.00000000,18
107.00000000,18
108.00000000,146
110.00000000,146
114.00000000,146
118.00000000,146
119.00000000,18
120.00000000,18
121.00000000,18
122.00000000,18
122.00000000,18
123.00000000,146
123.00000000,146
124.00000000,18
125.00000000,146
125.00000000,18
126.00000000,18
127.00000000,18
128.00000000,18
128.00000000,146
129.00000000,18
130.00000000,146
130.00000000,146
131.00000000,18
132.00000000,146
133.00000000,146
133.00000000,146
133.00000000,18
134.00000000,146
134.00000000,146
134.00000000,18
135.00000000,18
136.00000000,18
138.00000000,146
138.00000000,18
140.00000000,146
140.00000000,146
141.00000000,146
141.00000000,18
142.00000000,18
143.00000000,18
143.00000000,18
144.00000000,18
145.00000000,18
145.00000000,18
145.00000000,18
146.00000000,18
147.00000000,18
150.00000000,146
151.00000000,18
152.00000000,18
152.00000000,146
153.00000000,18
155.00000000,146
155.00000000,146
156.00000000,18
156.00000000,146
157.00000000,18
157.00000000,18
158.00000000,18
159.00000000,146
159.00000000,146
160.00000000,18
161.00000000,18
161.00000000,146
162.00000000,18
163.00000000,18
164.00000000,18
164.00000000,18
165.00000000,146
165.00000000,18
166.00000000,146
166.00000000,146
167.00000000,146
168.00000000,146
168.00000000,146
169.00000000,18
170.00000000,18
170.00000000,18
171.00000000,18
172.00000000,18
173.00000000,18
173.00000000,18
173.00000000,146
174.00000000,146
175.00000000,18
175.00000000,18
176.00000000,18
177.00000000,18
177.00000000,18
178.00000000,18
179.00000000,18
179.00000000,146
180.00000000,146
180.00000000,18
181.00000000,18
182.00000000,18
182.00000000,18
183.00000000,18
184.00000000,146
185.00000000,146
186.00000000,146
187.00000000,18
188.00000000,18
188.00000000,18
189.00000000,18
190.00000000,18
190.00000000,18
191.00000000,18
192.00000000,18
192.00000000,18
193.00000000,18
194.00000000,18
195.00000000,146
195.00000000,18
196.00000000,146
197.00000000,18
198.00000000,146
199.00000000,146
199.00000000,146
200.00000000,146
200.00000000,146
201.00000000,18
201.00000000,18
202.00000000,146
203.00000000,18
203.00000000,146
204.00000000,18
204.00000000,146
205.00000000,146
205.00000000,18
206.00000000,18
206.00000000,146
207.00000000,18
207.00000000,146
208.00000000,18
208.00000000,18
209.00000000,146
210.00000000,146
210.00000000,146
211.00000000,146
211.00000000,18
211.00000000,146
212.00000000,18
213.00000000,18
213.00000000,18
214.00000000,18
215.00000000,146
215.00000000,146
216.00000000,18
217.00000000,18
217.00000000,18
218.00000000,18
219.00000000,18
219.00000000,18
220.00000000,18
221.00000000,18
221.00000000,18
222.00000000,146
222.00000000,146
223.00000000,146
224.00000000,146
224.00000000,18
225.00000000,146
225.00000000,146
225.00000000,146
226.00000000,18
227.00000000,18
227.00000000,146
228.00000000,146
229.00000000,146
231.00000000,146
231.00000000,146
232.00000000,18
232.00000000,146
233.00000000,18
234.00000000,18
234.00000000,18
235.00000000,18
235.00000000,18
236.00000000,18
237.00000000,146
238.00000000,18
238.00000000,146
239.00000000,18
240.00000000,18
240.00000000,18
241.00000000,18
241.00000000,146
242.00000000,146
243.00000000,18
243.00000000,18
245.00000000,146
245.00000000,18
246.00000000,18
247.00000000,18
247.00000000,146
249.00000000,146
250.00000000,146
251.00000000,146
252.00000000,18
252.00000000,146
253.00000000,146
254.00000000,18
254.00000000,18
255.00000000,18
255.00000000,18
256.00000000,18
257.00000000,18
257.00000000,18
258.00000000,18
258.00000000,146
259.00000000,146
259.00000000,18
260.00000000,18
260.00000000,18
261.00000000,18
262.00000000,18
262.00000000,18
263.00000000,18
264.00000000,18
264.00000000,18
265.00000000,18
266.00000000,18
266.00000000,146
266.00000000,146
267.00000000,18
267.00000000,18
268.00000000,18
269.00000000,18
269.00000000,18
270.00000000,146
271.00000000,146
271.00000000,18
272.00000000,146
272.00000000,146
272.00000000,146
273.00000000,18
274.00000000,18
274.00000000,146
275.00000000,18
275.00000000,146
276.00000000,146
276.00000000,146
277.00000000,146
278.00000000,18
278.00000000,18
278.00000000,18
279.00000000,146
279.00000000,18
280.00000000,18
280.00000000,18
281.00000000,18
282.00000000,18
282.00000000,18
283.00000000,18
284.00000000,18
284.00000000,146
285.00000000,18
286.00000000,18
286.00000000,18
287.00000000,18
288.00000000,146
288.00000000,146
288.00000000,146
289.00000000,18
290.00000000,18
290.00000000,146
290.00000000,146
291.00000000,18
292.00000000,18
292.00000000,18
293.00000000,18
294.00000000,18
294.00000000,18
295.00000000,18
295.00000000,146
296.00000000,146
296.00000000,18
297.00000000,18
297.00000000,18
298.00000000,18
299.00000000,18
299.00000000,18
300.00000000,18
301.00000000,146
301.00000000,18
302.00000000,18
303.00000000,18
