time [s],expiration_epoch [] (/api/datatype/35/)
3.00000000,16109
6.00000000,16093
9.00000000,16118
12.00000000,16150
13.00000000,16163
16.00000000,15859
16.00000000,15877
17.00000000,15903
18.00000000,16143
20.00000000,16087
20.00000000,16079
22.00000000,16243
29.00000000,16164
32.00000000,16099
38.00000000,16273
43.00000000,16241
53.00000000,16163
64.00000000,16214
80.00000000,16186
88.00000000,16115
103.00000000,16085
128.00000000,16100
135.00000000,16206
140.00000000,16206
152.00000000,16126
157.00000000,16138
161.00000000,16167
171.00000000,16184
175.00000000,16208
185.00000000,16171
201.00000000,16186
208.00000000,16186
219.00000000,16169
236.00000000,16164
249.00000000,16122
263.00000000,16157
294.00000000,16169
318.00000000,16144
337.00000000,16139
341.00000000,16141
354.00000000,16102
372.00000000,16272
392.00000000,16252
416.00000000,16259
429.00000000,16192
440.00000000,16251
458.00000000,16229
477.00000000,16244
505.00000000,16247
509.00000000,16249
514.00000000,16249
518.00000000,16248
525.00000000,16250
530.00000000,16247
534.00000000,16245
538.00000000,16250
541.00000000,16253
545.00000000,16251
549.00000000,16251
555.00000000,16235
560.00000000,16158
563.00000000,16155
564.00000000,16148
566.00000000,16141
568.00000000,16133
574.00000000,16118
601.00000000,16164
624.00000000,16172
629.00000000,16179
642.00000000,16180
651.00000000,16179
655.00000000,16178
659.00000000,16179
664.00000000,16179
670.00000000,16178
676.00000000,16144
680.00000000,16186
688.00000000,16194
694.00000000,16193
699.00000000,16191
706.00000000,16188
711.00000000,16185
715.00000000,16189
719.00000000,16184
724.00000000,16185
728.00000000,16188
733.00000000,16184
737.00000000,16183
743.00000000,16180
747.00000000,16187
752.00000000,16182
765.00000000,16187
770.00000000,16183
775.00000000,16182
779.00000000,16182
782.00000000,16182
786.00000000,16182
790.00000000,16182
794.00000000,16181
798.00000000,16183
802.00000000,16184
805.00000000,16182
809.00000000,16179
814.00000000,16183
818.00000000,16179
823.00000000,16179
828.00000000,16177
832.00000000,16174
836.00000000,16179
840.00000000,16175
845.00000000,16152
849.00000000,16180
853.00000000,16188
858.00000000,16177
