time [s],heart_rate [bpm] (/api/datatype/19/)
1.00000000,70
2.00000000,70
3.00000000,70
4.00000000,70
5.00000000,70
6.00000000,70
7.00000000,70
8.00000000,70
9.00000000,131
10.00000000,131
11.00000000,124
12.00000000,117
13.00000000,114
14.00000000,110
15.00000000,110
16.00000000,109
17.00000000,102
18.00000000,95
19.00000000,94
20.00000000,88
21.00000000,79
22.00000000,79
23.00000000,76
24.00000000,76
25.00000000,69
26.00000000,69
27.00000000,65
28.00000000,61
29.00000000,60
30.00000000,59
31.00000000,57
32.00000000,55
33.00000000,55
34.00000000,51
35.00000000,51
36.00000000,51
37.00000000,49
38.00000000,49
39.00000000,47
40.00000000,47
41.00000000,47
42.00000000,49
43.00000000,52
44.00000000,55
45.00000000,55
46.00000000,61
47.00000000,61
48.00000000,67
49.00000000,71
50.00000000,71
51.00000000,72
52.00000000,71
53.00000000,75
54.00000000,75
55.00000000,79
56.00000000,78
57.00000000,78
58.00000000,83
59.00000000,86
60.00000000,86
61.00000000,86
62.00000000,81
63.00000000,82
64.00000000,80
65.00000000,80
66.00000000,83
67.00000000,83
68.00000000,81
69.00000000,81
70.00000000,81
71.00000000,81
72.00000000,79
73.00000000,77
74.00000000,82
75.00000000,81
76.00000000,80
77.00000000,80
78.00000000,83
79.00000000,76
80.00000000,79
81.00000000,83
82.00000000,79
83.00000000,74
84.00000000,73
85.00000000,66
86.00000000,66
87.00000000,66
88.00000000,64
89.00000000,64
90.00000000,55
91.00000000,54
92.00000000,54
93.00000000,54
94.00000000,52
95.00000000,52
96.00000000,54
97.00000000,51
98.00000000,58
99.00000000,59
100.00000000,65
101.00000000,65
102.00000000,70
103.00000000,67
104.00000000,70
105.00000000,73
106.00000000,75
107.00000000,82
108.00000000,88
109.00000000,88
110.00000000,93
111.00000000,93
112.00000000,93
113.00000000,93
114.00000000,84
115.00000000,84
116.00000000,84
117.00000000,84
118.00000000,84
119.00000000,77
120.00000000,84
121.00000000,79
122.00000000,79
123.00000000,80
124.00000000,71
125.00000000,73
126.00000000,72
127.00000000,72
128.00000000,71
129.00000000,69
130.00000000,69
131.00000000,67
132.00000000,67
133.00000000,69
134.00000000,69
135.00000000,73
136.00000000,72
137.00000000,73
138.00000000,73
139.00000000,74
140.00000000,76
141.00000000,76
142.00000000,84
143.00000000,85
144.00000000,88
145.00000000,99
146.00000000,98
147.00000000,102
148.00000000,102
149.00000000,102
150.00000000,94
151.00000000,93
152.00000000,93
153.00000000,92
154.00000000,92
155.00000000,92
156.00000000,93
157.00000000,92
158.00000000,91
159.00000000,91
160.00000000,92
161.00000000,84
162.00000000,84
163.00000000,78
164.00000000,83
165.00000000,86
166.00000000,86
167.00000000,88
168.00000000,89
169.00000000,92
170.00000000,91
171.00000000,92
172.00000000,88
173.00000000,87
174.00000000,86
175.00000000,87
176.00000000,89
177.00000000,88
178.00000000,93
179.00000000,91
180.00000000,88
181.00000000,86
182.00000000,86
183.00000000,85
184.00000000,85
185.00000000,85
186.00000000,85
187.00000000,85
188.00000000,85
189.00000000,85
190.00000000,84
191.00000000,84
192.00000000,85
193.00000000,85
194.00000000,85
195.00000000,85
196.00000000,85
197.00000000,85
198.00000000,84
199.00000000,84
200.00000000,85
201.00000000,85
202.00000000,86
203.00000000,85
204.00000000,85
205.00000000,83
206.00000000,85
207.00000000,87
208.00000000,91
209.00000000,92
210.00000000,93
211.00000000,96
212.00000000,97
213.00000000,97
214.00000000,99
215.00000000,99
216.00000000,96
217.00000000,97
218.00000000,99
219.00000000,100
220.00000000,102
221.00000000,98
222.00000000,98
223.00000000,98
224.00000000,94
225.00000000,94
226.00000000,93
227.00000000,91
228.00000000,89
229.00000000,89
230.00000000,89
231.00000000,89
232.00000000,92
233.00000000,93
234.00000000,92
235.00000000,95
236.00000000,95
237.00000000,93
238.00000000,93
239.00000000,92
240.00000000,93
241.00000000,94
242.00000000,94
243.00000000,95
244.00000000,95
245.00000000,95
246.00000000,94
247.00000000,91
248.00000000,91
249.00000000,91
250.00000000,91
251.00000000,88
252.00000000,87
253.00000000,87
254.00000000,89
255.00000000,89
256.00000000,91
257.00000000,90
258.00000000,91
259.00000000,91
260.00000000,91
261.00000000,92
262.00000000,93
263.00000000,95
264.00000000,96
265.00000000,96
266.00000000,96
267.00000000,95
268.00000000,95
269.00000000,95
270.00000000,95
271.00000000,95
272.00000000,95
273.00000000,95
274.00000000,93
275.00000000,93
276.00000000,93
277.00000000,93
278.00000000,94
279.00000000,97
280.00000000,102
281.00000000,102
282.00000000,102
283.00000000,100
284.00000000,100
285.00000000,99
286.00000000,98
287.00000000,100
288.00000000,100
289.00000000,100
290.00000000,98
291.00000000,97
292.00000000,91
293.00000000,89
294.00000000,90
295.00000000,90
296.00000000,90
297.00000000,92
298.00000000,92
299.00000000,92
300.00000000,91
301.00000000,91
302.00000000,91
303.00000000,91
304.00000000,90
305.00000000,90
306.00000000,90
307.00000000,90
308.00000000,90
309.00000000,89
310.00000000,90
311.00000000,91
312.00000000,91
313.00000000,91
314.00000000,91
315.00000000,92
316.00000000,91
317.00000000,91
318.00000000,90
319.00000000,90
320.00000000,90
321.00000000,90
322.00000000,90
323.00000000,91
324.00000000,91
325.00000000,91
326.00000000,89
327.00000000,89
328.00000000,89
329.00000000,88
330.00000000,88
331.00000000,87
332.00000000,88
333.00000000,89
334.00000000,86
335.00000000,88
336.00000000,88
337.00000000,88
338.00000000,88
339.00000000,87
340.00000000,87
341.00000000,87
342.00000000,88
343.00000000,88
344.00000000,88
345.00000000,89
346.00000000,89
347.00000000,88
348.00000000,89
349.00000000,89
350.00000000,91
351.00000000,90
352.00000000,89
353.00000000,89
354.00000000,88
355.00000000,89
356.00000000,90
357.00000000,90
358.00000000,90
359.00000000,89
360.00000000,88
361.00000000,87
362.00000000,87
363.00000000,89
364.00000000,88
365.00000000,87
366.00000000,87
367.00000000,88
368.00000000,88
369.00000000,87
370.00000000,87
371.00000000,86
372.00000000,85
373.00000000,85
374.00000000,86
375.00000000,86
376.00000000,88
377.00000000,88
378.00000000,88
379.00000000,86
380.00000000,81
381.00000000,81
382.00000000,81
383.00000000,81
384.00000000,81
385.00000000,81
386.00000000,81
387.00000000,81
388.00000000,81
389.00000000,81
390.00000000,81
391.00000000,81
392.00000000,83
393.00000000,87
394.00000000,87
395.00000000,94
396.00000000,98
397.00000000,98
398.00000000,98
399.00000000,98
400.00000000,98
401.00000000,98
402.00000000,98
403.00000000,98
404.00000000,98
405.00000000,98
406.00000000,98
407.00000000,98
408.00000000,98
409.00000000,98
410.00000000,98
411.00000000,98
412.00000000,98
413.00000000,98
414.00000000,98
415.00000000,98
416.00000000,98
417.00000000,98
418.00000000,98
419.00000000,98
420.00000000,98
421.00000000,98
422.00000000,98
423.00000000,98
424.00000000,98
425.00000000,98
426.00000000,98
427.00000000,100
428.00000000,62
429.00000000,59
430.00000000,59
431.00000000,65
432.00000000,67
433.00000000,67
434.00000000,67
435.00000000,67
436.00000000,67
437.00000000,67
438.00000000,69
439.00000000,71
440.00000000,71
441.00000000,71
442.00000000,71
443.00000000,71
444.00000000,71
445.00000000,71
446.00000000,71
447.00000000,71
448.00000000,71
449.00000000,71
450.00000000,71
451.00000000,71
452.00000000,71
453.00000000,71
454.00000000,71
455.00000000,71
456.00000000,71
457.00000000,71
458.00000000,71
459.00000000,71
460.00000000,71
461.00000000,71
462.00000000,71
463.00000000,71
464.00000000,71
465.00000000,71
466.00000000,71
467.00000000,71
468.00000000,71
469.00000000,71
470.00000000,71
471.00000000,71
472.00000000,71
473.00000000,71
474.00000000,71
475.00000000,71
476.00000000,71
477.00000000,71
478.00000000,71
479.00000000,71
480.00000000,71
481.00000000,71
