time [s],heart_rate_quality [na] (/api/datatype/1000/)
1.00000000,0
2.00000000,0
3.00000000,0
4.00000000,8
5.00000000,8
6.00000000,0
7.00000000,8
8.00000000,8
9.00000000,8
10.00000000,8
11.00000000,8
12.00000000,0
13.00000000,8
14.00000000,8
15.00000000,8
16.00000000,8
17.00000000,8
18.00000000,8
19.00000000,8
20.00000000,8
21.00000000,8
22.00000000,0
23.00000000,0
24.00000000,0
25.00000000,0
26.00000000,0
27.00000000,0
28.00000000,8
29.00000000,8
30.00000000,8
31.00000000,8
32.00000000,8
33.00000000,8
34.00000000,8
35.00000000,0
36.00000000,0
37.00000000,0
38.00000000,0
39.00000000,0
40.00000000,0
41.00000000,0
42.00000000,0
43.00000000,0
44.00000000,0
45.00000000,0
46.00000000,0
47.00000000,0
48.00000000,0
49.00000000,0
50.00000000,0
51.00000000,0
52.00000000,16
53.00000000,0
54.00000000,0
55.00000000,0
56.00000000,0
57.00000000,0
58.00000000,0
59.00000000,0
60.00000000,0
61.00000000,0
62.00000000,0
63.00000000,0
64.00000000,16
65.00000000,16
66.00000000,0
67.00000000,0
68.00000000,0
69.00000000,0
70.00000000,0
71.00000000,0
72.00000000,0
73.00000000,0
74.00000000,0
75.00000000,0
76.00000000,16
77.00000000,0
78.00000000,0
79.00000000,0
80.00000000,0
81.00000000,0
82.00000000,0
83.00000000,0
84.00000000,8
85.00000000,16
86.00000000,16
87.00000000,24
88.00000000,16
89.00000000,16
90.00000000,16
91.00000000,16
92.00000000,16
93.00000000,16
94.00000000,16
95.00000000,16
96.00000000,16
97.00000000,16
98.00000000,20
99.00000000,16
100.00000000,20
101.00000000,16
102.00000000,16
103.00000000,16
104.00000000,24
105.00000000,16
106.00000000,16
107.00000000,16
108.00000000,0
109.00000000,0
110.00000000,0
111.00000000,0
112.00000000,0
113.00000000,0
114.00000000,0
115.00000000,0
116.00000000,2
117.00000000,2
118.00000000,2
119.00000000,0
120.00000000,16
121.00000000,24
122.00000000,16
123.00000000,20
124.00000000,24
125.00000000,24
126.00000000,16
127.00000000,16
128.00000000,28
129.00000000,24
130.00000000,24
131.00000000,24
132.00000000,16
133.00000000,16
134.00000000,0
135.00000000,0
136.00000000,0
137.00000000,0
138.00000000,0
139.00000000,0
140.00000000,0
141.00000000,0
142.00000000,0
143.00000000,0
144.00000000,0
145.00000000,0
146.00000000,0
147.00000000,0
