time [s],inspiration_epoch [na] (/api/datatype/34/)
3.00000000,16140
5.00000000,16124
8.00000000,16140
11.00000000,16170
13.00000000,16192
15.00000000,16243
16.00000000,16029
17.00000000,16075
18.00000000,16156
19.00000000,16182
20.00000000,16111
22.00000000,16273
28.00000000,16295
29.00000000,16189
35.00000000,16299
40.00000000,16294
47.00000000,16289
59.00000000,16238
66.00000000,16247
82.00000000,16211
97.00000000,16141
105.00000000,16219
131.00000000,16276
137.00000000,16245
144.00000000,16271
155.00000000,16168
159.00000000,16292
167.00000000,16220
174.00000000,16239
182.00000000,16237
197.00000000,16255
206.00000000,16230
217.00000000,16262
227.00000000,16248
241.00000000,16252
258.00000000,16193
270.00000000,16233
300.00000000,16212
335.00000000,16205
339.00000000,16155
349.00000000,16199
364.00000000,16297
374.00000000,16293
398.00000000,16280
419.00000000,16278
438.00000000,16265
442.00000000,16266
461.00000000,16258
481.00000000,16262
507.00000000,16258
512.00000000,16259
516.00000000,16259
523.00000000,16259
527.00000000,16259
532.00000000,16258
536.00000000,16260
539.00000000,16259
543.00000000,16259
546.00000000,16259
550.00000000,16259
558.00000000,16255
561.00000000,16188
563.00000000,16176
565.00000000,16171
568.00000000,16158
573.00000000,16278
585.00000000,16202
604.00000000,16194
627.00000000,16192
632.00000000,16193
644.00000000,16192
653.00000000,16190
657.00000000,16189
661.00000000,16191
668.00000000,16193
673.00000000,16192
678.00000000,16200
686.00000000,16202
690.00000000,16202
696.00000000,16202
700.00000000,16199
707.00000000,16197
713.00000000,16196
716.00000000,16195
721.00000000,16194
725.00000000,16201
729.00000000,16197
734.00000000,16193
740.00000000,16193
745.00000000,16197
750.00000000,16194
759.00000000,16198
766.00000000,16193
772.00000000,16191
776.00000000,16191
780.00000000,16190
784.00000000,16190
788.00000000,16190
792.00000000,16191
797.00000000,16193
800.00000000,16191
803.00000000,16191
807.00000000,16191
811.00000000,16189
815.00000000,16189
822.00000000,16189
826.00000000,16190
829.00000000,16187
833.00000000,16187
837.00000000,16187
842.00000000,16188
848.00000000,16186
851.00000000,16195
854.00000000,16194
860.00000000,16188
867.00000000,16188
870.00000000,16189
877.00000000,16194
882.00000000,16194
887.00000000,16191
892.00000000,16191
895.00000000,16191
