time [s],sleep_position_epoch [na] (/api/datatype/270/)
0.00000000,nan
1.00000000,2
36.00000000,5
51.00000000,2
175.00000000,5
200.00000000,2
242.00000000,5
251.00000000,2
268.00000000,5
292.00000000,2
302.00000000,5
309.00000000,2
2617.00000000,5
2636.00000000,2
6887.00000000,4
6893.00000000,2
13370.00000000,3
13397.00000000,5
13476.00000000,2
13512.00000000,5
13573.00000000,3
13576.00000000,2
13608.00000000,5
13625.00000000,3
13649.00000000,5
13656.00000000,3
13674.00000000,2
13809.00000000,5
13867.00000000,2
14044.00000000,3
14104.00000000,2
17326.00000000,4
17341.00000000,2
21659.00000000,4
21670.00000000,2
23113.00000000,5
23167.00000000,2
23176.00000000,5
23293.00000000,2
23320.00000000,5
25726.00000000,2
28187.00000000,3
28188.00000000,2
28194.00000000,5
29669.00000000,1
29703.00000000,5
29781.00000000,1
29787.00000000,5
29814.00000000,1
29838.00000000,5
30571.00000000,1
30578.00000000,5
31246.00000000,1
31287.00000000,5
31298.00000000,1
31395.00000000,5
31404.00000000,1
31454.00000000,5
31507.00000000,1
31528.00000000,5
31537.00000000,1
31644.00000000,5
31656.00000000,1
32503.00000000,5
32521.00000000,1
32617.00000000,5
32632.00000000,1
33911.00000000,5
33946.00000000,1
34032.00000000,5
34460.00000000,2
34499.00000000,5
34514.00000000,2
34538.00000000,5
34546.00000000,nan
