time [s],NN_interval [s/256](/api/datatype/318/)
136.78125,236
137.63671875,219
139.5234375,241
140.43359375,233
141.34375,233
142.26953125,237
143.15234375,226
144.1484375,255
146.26953125,270
148.2421875,263
150.2890625,256
152.08984375,235
195.125,279
196.22265625,281
197.3984375,301
198.48828125,279
211.203125,227
212.11328125,233
213.015625,231
213.890625,224
214.82421875,239
215.73046875,232
216.6640625,239
217.5859375,236
218.609375,262
234.3359375,203
235.18359375,217
236.08203125,230
236.92578125,216
238.65625,224
239.6328125,250
240.578125,242
242.6328125,278
243.73046875,281
247.8046875,272
248.7890625,252
249.8203125,264
250.79296875,249
251.7265625,239
252.828125,282
256.6171875,226
284.25390625,222
285.15234375,230
286.0625,233
287.02734375,247
287.92578125,230
288.8359375,233
289.76953125,239
290.68359375,234
291.56640625,226
292.4921875,237
293.41796875,237
294.28125,221
295.10546875,211
295.96484375,220
296.8515625,227
297.73046875,225
312.6484375,179
313.390625,190
314.2109375,210
314.98828125,199
316.56640625,209
317.40234375,214
318.23046875,212
319.0703125,215
319.9296875,220
320.82421875,229
321.6875,221
322.5,208
323.36328125,221
324.18359375,210
325.0,209
325.78125,200
380.015625,191
380.76171875,191
381.52734375,196
382.296875,197
383.0703125,198
383.859375,202
384.72265625,221
385.71875,255
386.7265625,258
389.57421875,249
390.58203125,258
391.49609375,234
392.5,257
394.76171875,288
398.8828125,253
400.82421875,252
401.76953125,242
402.62890625,220
403.55078125,236
405.47265625,249
406.34765625,224
407.26953125,236
409.125,236
409.94921875,211
424.55078125,192
425.390625,215
426.33984375,243
427.21484375,224
430.2421875,262
435.43359375,283
437.5859375,294
439.82421875,282
440.89453125,274
442.0234375,289
444.20703125,260
446.19140625,247
447.14453125,244
447.98828125,216
449.00390625,260
451.43359375,298
453.56640625,290
455.76953125,261
463.703125,281
464.8515625,294
467.265625,305
469.4765625,302
472.80078125,312
483.125,299
485.21875,276
502.390625,309
503.51171875,287
505.78125,313
546.921875,236
547.80859375,227
548.75390625,242
550.671875,242
551.59375,236
552.5546875,246
553.4921875,240
554.44140625,243
555.34765625,232
556.21875,223
557.13671875,235
558.08984375,244
559.078125,253
560.1171875,266
561.18359375,273
562.1796875,255
563.94921875,226
565.69140625,221
566.5078125,209
567.375,222
568.26171875,227
569.22265625,246
570.1484375,237
571.12109375,249
572.17578125,270
573.16015625,252
574.90625,218
575.76171875,219
576.6484375,227
577.54296875,229
700.52734375,177
701.30078125,198
702.13671875,214
703.03515625,230
703.95703125,236
704.89453125,240
705.7578125,221
706.69921875,241
708.546875,235
