time [s],RR_interval [s/256](/api/datatype/18/)
6.13671875,0
6.48828125,90
6.89453125,104
7.76171875,222
8.59375,213
9.046875,116
9.46484375,107
9.8125,89
10.359375,140
11.2734375,234
12.21875,242
13.05859375,215
13.72265625,170
14.26953125,140
14.5390625,69
14.82421875,73
15.45703125,162
15.8671875,105
17.05859375,305
17.80078125,190
18.21875,107
18.62109375,103
19.4375,209
20.30078125,221
21.0859375,201
21.9140625,212
22.78515625,223
23.0859375,77
23.62890625,139
24.50390625,224
25.46875,247
26.25,200
27.140625,228
28.03125,228
29.48046875,371
30.5859375,283
31.41796875,213
32.33203125,234
33.15234375,210
33.42578125,70
33.953125,135
34.2109375,66
34.7578125,140
35.57421875,209
36.125,141
36.421875,76
36.87109375,115
37.73828125,222
38.81640625,276
39.40234375,150
39.66796875,68
40.21484375,140
40.7578125,139
41.296875,138
41.91796875,159
42.2734375,91
42.8359375,144
43.91015625,275
44.4453125,137
45.515625,274
46.2109375,178
47.08984375,225
47.60546875,132
48.3359375,187
49.17578125,215
49.53125,91
50.20703125,173
50.65234375,114
51.234375,149
52.2265625,254
53.3203125,280
54.04296875,185
54.44140625,102
55.5078125,273
56.55078125,267
57.609375,271
58.6328125,262
59.55859375,237
60.4453125,227
61.484375,266
62.51953125,265
63.50390625,252
64.0859375,149
64.5078125,108
65.36328125,219
66.18359375,210
67.4140625,315
67.71875,78
68.234375,132
68.94921875,183
70.15234375,308
71.02734375,224
72.2421875,311
73.20703125,247
74.6171875,361
75.55859375,241
76.03515625,122
76.38671875,90
76.68359375,76
77.83984375,296
78.11328125,70
78.66015625,140
79.19140625,136
79.73046875,138
80.203125,121
80.5234375,82
81.30859375,201
82.03125,185
83.15625,288
84.2421875,278
84.6953125,116
85.4453125,192
86.62109375,301
87.86328125,318
88.90234375,266
90.01171875,284
90.48046875,120
91.01953125,138
92.1171875,281
92.42578125,79
93.01171875,150
93.41015625,102
93.99609375,150
94.37890625,98
95.08203125,180
95.52734375,114
96.078125,141
96.8984375,210
97.6875,202
98.53125,216
99.421875,228
100.40234375,251
101.0390625,163
101.3046875,68
102.12890625,211
102.91015625,200
103.61328125,180
104.4453125,213
104.83203125,99
105.38671875,142
105.9140625,135
106.65234375,189
107.4296875,199
107.890625,118
108.3515625,118
109.21875,222
110.2109375,254
111.41796875,309
112.234375,209
112.62109375,99
113.15625,137
113.4609375,78
114.1171875,168
114.765625,166
115.0703125,78
115.99609375,237
116.46875,121
116.859375,100
117.39453125,137
117.73046875,86
118.71484375,252
119.3984375,175
120.2421875,216
121.046875,206
121.828125,200
122.5703125,190
123.31640625,191
123.640625,83
124.10546875,119
124.734375,161
125.42578125,177
126.11328125,176
126.76953125,168
127.453125,175
128.12890625,173
128.8125,175
129.50390625,177
130.19921875,178
130.8984375,179
131.5859375,176
132.26953125,175
132.953125,175
133.64453125,177
134.33203125,176
135.0546875,185
135.85546875,205
136.78125,237
137.63671875,219
138.58203125,242
139.5234375,241
140.43359375,233
141.34375,233
142.26953125,237
143.15234375,226
144.1484375,255
145.21484375,273
146.26953125,270
147.21484375,242
148.2421875,263
149.2890625,268
150.2890625,256
151.171875,226
152.08984375,235
153.1171875,263
154.13671875,261
155.13671875,256
156.28515625,294
157.37109375,278
158.27734375,232
159.2265625,243
159.54296875,81
160.09765625,142
160.58203125,124
161.16015625,148
161.671875,131
162.4765625,206
163.27734375,205
164.06640625,202
164.39453125,84
165.01953125,160
165.9296875,233
166.4765625,140
167.08203125,155
167.984375,231
168.84375,220
169.390625,140
169.92578125,137
170.4375,131
171.00390625,145
171.875,223
172.828125,244
173.28125,116
173.76171875,123
174.64453125,226
175.5390625,229
176.00390625,119
176.40234375,102
177.2109375,207
177.92578125,183
178.2421875,81
178.64453125,103
179.328125,175
180.015625,176
180.39453125,97
180.734375,87
181.55078125,209
182.5234375,249
183.5,250
184.40625,232
185.390625,252
186.40234375,259
187.32421875,236
188.2421875,235
189.44140625,307
190.671875,315
191.76171875,279
192.91015625,294
194.03515625,288
195.125,279
196.22265625,281
197.3984375,301
198.48828125,279
199.51953125,264
200.62109375,282
201.625,257
202.51171875,227
203.38671875,224
204.265625,225
205.1328125,222
205.9453125,208
206.80859375,221
207.6953125,227
208.625,238
209.4765625,218
210.31640625,215
211.203125,227
212.11328125,233
213.015625,231
213.890625,224
214.82421875,239
215.73046875,232
216.6640625,239
217.5859375,236
218.609375,262
219.73828125,289
220.76953125,264
221.82421875,270
222.83203125,258
223.75390625,236
224.60546875,218
225.4921875,227
226.3359375,216
227.12890625,203
227.92578125,204
228.73828125,208
229.09375,91
229.5703125,122
230.33984375,197
231.14453125,206
231.9453125,205
232.765625,210
233.546875,200
234.3359375,202
235.18359375,217
236.08203125,230
236.92578125,216
237.78125,219
238.65625,224
239.6328125,250
240.578125,242
241.546875,248
242.6328125,278
243.73046875,281
244.6796875,243
245.70703125,263
246.7421875,265
247.8046875,272
248.7890625,252
249.8203125,264
250.79296875,249
251.7265625,239
252.828125,282
253.9140625,278
254.87109375,245
255.734375,221
256.6171875,226
257.56640625,243
258.4453125,225
259.4375,254
260.59765625,297
261.52734375,238
262.31640625,202
262.6171875,77
263.109375,126
263.36328125,65
263.87890625,132
264.58984375,182
265.2890625,179
265.9921875,180
266.69921875,181
267.43359375,188
268.1640625,187
268.87109375,181
269.66015625,202
270.5625,231
271.484375,236
272.484375,256
273.02734375,139
273.45703125,110
274.33984375,226
274.79296875,116
275.31640625,134
275.65625,87
276.046875,100
276.4375,100
277.45703125,261
278.5390625,277
279.47265625,239
280.609375,291
281.0234375,106
281.57421875,141
282.48828125,234
283.38671875,230
284.25390625,222
285.15234375,230
286.0625,233
287.02734375,247
287.92578125,230
288.8359375,233
289.76953125,239
290.68359375,234
291.56640625,226
292.4921875,237
293.41796875,237
294.28125,221
295.10546875,211
295.96484375,220
296.8515625,227
297.73046875,225
