time [s],RR_interval_quality [NA](/api/datatype/1004/)
6.13671875,129
6.48828125,129
6.89453125,129
7.76171875,129
8.59375,129
9.046875,129
9.46484375,129
9.8125,1
10.359375,129
11.2734375,1
12.21875,1
13.05859375,1
13.72265625,129
14.26953125,129
14.5390625,129
14.82421875,129
15.45703125,129
15.8671875,129
17.05859375,1
17.80078125,1
18.21875,1
18.62109375,1
19.4375,1
20.30078125,1
21.0859375,1
21.9140625,1
22.78515625,1
23.0859375,129
23.62890625,129
24.50390625,1
25.46875,1
26.25,1
27.140625,1
28.03125,1
29.48046875,129
30.5859375,1
31.41796875,1
32.33203125,1
33.15234375,1
33.42578125,129
33.953125,129
34.2109375,129
34.7578125,129
35.57421875,1
36.125,129
36.421875,129
36.87109375,129
37.73828125,1
38.81640625,1
39.40234375,1
39.66796875,129
40.21484375,1
40.7578125,1
41.296875,1
41.91796875,1
42.2734375,129
42.8359375,1
43.91015625,129
44.4453125,1
45.515625,129
46.2109375,1
47.08984375,129
47.60546875,1
48.3359375,129
49.17578125,129
49.53125,129
50.20703125,1
50.65234375,129
51.234375,1
52.2265625,129
53.3203125,1
54.04296875,1
54.44140625,129
55.5078125,1
56.55078125,1
57.609375,1
58.6328125,1
59.55859375,1
60.4453125,1
61.484375,1
62.51953125,1
63.50390625,1
64.0859375,129
64.5078125,129
65.36328125,1
66.18359375,129
67.4140625,1
67.71875,129
68.234375,129
68.94921875,129
70.15234375,1
71.02734375,1
72.2421875,1
73.20703125,1
74.6171875,1
75.55859375,1
76.03515625,129
76.38671875,129
76.68359375,129
77.83984375,1
78.11328125,129
78.66015625,129
79.19140625,1
79.73046875,1
80.203125,1
80.5234375,129
81.30859375,1
82.03125,129
83.15625,129
84.2421875,1
84.6953125,1
85.4453125,1
86.62109375,1
87.86328125,1
88.90234375,1
90.01171875,1
90.48046875,129
91.01953125,129
92.1171875,1
92.42578125,129
93.01171875,129
93.41015625,129
93.99609375,129
94.37890625,129
95.08203125,129
95.52734375,129
96.078125,1
96.8984375,1
97.6875,129
98.53125,129
99.421875,129
100.40234375,129
101.0390625,1
101.3046875,129
102.12890625,1
102.91015625,1
103.61328125,1
104.4453125,1
104.83203125,129
105.38671875,129
105.9140625,129
106.65234375,1
107.4296875,1
107.890625,129
108.3515625,129
109.21875,1
110.2109375,1
111.41796875,129
112.234375,1
112.62109375,129
113.15625,129
113.4609375,129
114.1171875,1
114.765625,1
115.0703125,129
115.99609375,1
116.46875,129
116.859375,129
117.39453125,1
117.73046875,129
118.71484375,1
119.3984375,1
120.2421875,1
121.046875,1
121.828125,1
122.5703125,1
123.31640625,1
123.640625,129
124.10546875,129
124.734375,1
125.42578125,1
126.11328125,1
126.76953125,1
127.453125,1
128.12890625,1
128.8125,1
129.50390625,1
130.19921875,1
130.8984375,1
131.5859375,1
132.26953125,1
132.953125,1
133.64453125,1
134.33203125,1
135.0546875,1
135.85546875,1
136.78125,128
137.63671875,128
138.58203125,128
139.5234375,128
140.43359375,128
141.34375,128
142.26953125,0
143.15234375,0
144.1484375,0
145.21484375,0
146.26953125,0
147.21484375,0
148.2421875,0
149.2890625,0
150.2890625,0
151.171875,0
152.08984375,0
153.1171875,0
154.13671875,0
155.13671875,0
156.28515625,1
157.37109375,1
158.27734375,1
159.2265625,1
159.54296875,129
160.09765625,129
160.58203125,129
161.16015625,129
161.671875,129
162.4765625,1
163.27734375,1
164.06640625,1
164.39453125,129
165.01953125,129
165.9296875,1
166.4765625,1
167.08203125,1
167.984375,1
168.84375,1
169.390625,1
169.92578125,1
170.4375,1
171.00390625,1
171.875,1
172.828125,1
173.28125,129
173.76171875,129
174.64453125,1
175.5390625,1
176.00390625,129
176.40234375,129
177.2109375,1
177.92578125,129
178.2421875,129
178.64453125,129
179.328125,129
180.015625,129
180.39453125,129
180.734375,129
181.55078125,1
182.5234375,1
183.5,1
184.40625,1
185.390625,1
186.40234375,1
187.32421875,1
188.2421875,1
189.44140625,1
190.671875,129
191.76171875,1
192.91015625,0
194.03515625,0
195.125,0
196.22265625,0
197.3984375,0
198.48828125,0
199.51953125,0
200.62109375,1
201.625,1
202.51171875,1
203.38671875,1
204.265625,1
205.1328125,1
205.9453125,129
206.80859375,1
207.6953125,1
208.625,1
209.4765625,1
210.31640625,0
211.203125,0
212.11328125,0
213.015625,0
