time [s],device_position [NA](/api/datatype/269/)
0.0,nan
1.0,2.0
30.0,6.0
41.0,2.0
280.0,6.0
305.0,2.0
805.0,6.0
811.0,2.0
946.0,6.0
957.0,2.0
2752.0,6.0
3646.0,2.0
4469.0,6.0
4483.0,2.0
4515.0,6.0
4521.0,2.0
4961.0,6.0
4972.0,2.0
4987.0,6.0
5006.0,2.0
5512.0,6.0
5524.0,2.0
6359.0,6.0
6387.0,2.0
6439.0,6.0
6467.0,2.0
6639.0,6.0
6655.0,2.0
6661.0,6.0
6667.0,2.0
6802.0,6.0
6813.0,2.0
7356.0,6.0
7362.0,2.0
7375.0,6.0
7463.0,2.0
7480.0,6.0
7504.0,2.0
7665.0,6.0
7676.0,2.0
7995.0,6.0
7999.0,2.0
8095.0,6.0
8130.0,2.0
8140.0,6.0
8147.0,2.0
8156.0,6.0
8214.0,2.0
8231.0,6.0
8255.0,2.0
8290.0,6.0
8293.0,2.0
8339.0,6.0
8369.0,2.0
8374.0,6.0
8403.0,2.0
8410.0,6.0
8433.0,2.0
8436.0,6.0
8448.0,2.0
8470.0,6.0
8495.0,2.0
8501.0,6.0
8618.0,2.0
8631.0,6.0
8657.0,2.0
8667.0,6.0
8909.0,2.0
8915.0,6.0
8928.0,2.0
8949.0,6.0
8958.0,2.0
8967.0,6.0
8996.0,2.0
9279.0,6.0
9286.0,2.0
9317.0,6.0
9358.0,2.0
9364.0,6.0
9387.0,2.0
9841.0,6.0
9845.0,2.0
10845.0,6.0
10854.0,2.0
10860.0,6.0
10867.0,2.0
10924.0,6.0
10940.0,2.0
20006.0,6.0
20012.0,2.0
24093.0,nan
