time [s],expiration [NA](/api/datatype/35/)
5.5234375,26883
9.3125,26893
13.1875,26835
16.4140625,26876
20.265625,26860
23.5,26857
27.140625,26852
30.3828125,26759
34.3515625,26786
38.5234375,26798
42.7109375,26972
47.859375,26926
52.28125,26928
56.265625,26926
59.84375,26919
63.359375,26911
66.2890625,26917
70.0390625,26950
75.390625,26906
78.6484375,26870
82.21875,26895
85.546875,26895
89.6484375,26874
93.15625,26871
97.3984375,26686
102.359375,26980
108.7578125,26927
112.6171875,26922
116.4921875,26911
125.703125,26957
128.4765625,26969
134.2421875,26922
139.765625,26959
146.8125,26903
150.7421875,26896
154.40625,26893
158.109375,26887
164.421875,26968
167.515625,27018
170.7734375,27037
174.0703125,27035
177.2265625,27012
179.875,26939
183.890625,26954
187.65625,26960
191.4765625,26959
195.28125,26961
198.9609375,26966
202.796875,26941
205.84375,26950
209.6328125,26953
213.625,26962
217.0078125,26952
220.9609375,26959
224.203125,26965
227.0390625,26954
230.09375,26834
233.359375,26876
236.984375,26874
240.7421875,26875
244.3984375,26876
248.1640625,26877
251.6484375,26875
255.1328125,26849
258.625,26864
265.1953125,27009
268.8359375,26892
273.953125,26971
277.7265625,26932
304.8203125,26929
308.265625,26974
311.5859375,26985
315.3828125,26987
318.75,26986
322.0546875,26985
326.421875,27023
329.7578125,26989
332.28125,26995
335.84375,27052
339.1875,26972
341.96875,27018
345.2265625,26855
348.984375,26861
352.15625,26827
355.109375,26836
358.609375,26845
365.1875,26860
368.7578125,26831
371.8984375,26904
374.0859375,26904
379.9921875,26974
383.828125,26984
387.640625,26973
391.46875,26980
395.28125,26978
399.125,26970
402.4609375,26977
406.0,26985
409.7421875,26972
413.4609375,26914
415.3828125,26917
418.6796875,26942
423.390625,26950
427.0859375,26938
431.2578125,26909
435.9609375,26932
439.953125,26931
444.3515625,26927
447.6328125,26903
452.0859375,26912
455.953125,26916
460.109375,26923
463.8125,26929
467.78125,26932
471.2265625,26935
475.4140625,26932
479.5234375,26935
483.890625,26936
487.421875,26922
491.734375,26923
496.0078125,26926
500.0,26927
503.875,26928
508.046875,26928
512.0390625,26922
517.078125,27026
519.765625,26947
523.4453125,27011
526.7265625,27031
530.171875,27029
533.3984375,27030
536.453125,27030
539.8046875,27029
543.3046875,27023
547.4375,27047
551.375,27047
555.5234375,27043
559.1484375,27051
562.7109375,27054
566.4296875,27040
570.0703125,27057
573.9296875,27057
577.8984375,27066
581.703125,27037
585.0,27048
588.921875,27062
593.4921875,27059
597.3828125,27055
601.390625,27042
605.5546875,26992
612.7109375,27035
616.6015625,27042
621.3515625,27004
627.75,27058
631.0625,27057
634.484375,27069
637.5859375,27046
645.875,26963
649.1875,27042
652.4453125,27050
656.609375,27062
659.6328125,27048
663.9609375,27105
668.1484375,27075
672.296875,27074
675.4609375,27075
679.984375,27084
683.1640625,27054
687.5859375,27043
689.6015625,27036
693.046875,27032
696.015625,27063
699.46875,27082
702.1640625,27056
705.4140625,27074
708.734375,27068
712.46875,27068
717.046875,26953
723.0,27006
726.9140625,27070
732.265625,27051
735.4375,27054
738.1171875,27076
745.4140625,27035
755.8125,27079
763.6171875,27067
769.3203125,27040
