time [s],inspiration [s](/api/datatype/34/)
4.3984375,26971
8.09375,26942
11.8046875,26940
15.2734375,26924
18.34375,26920
22.1640625,26914
25.9140625,26898
28.7578125,26884
32.890625,26880
37.203125,26898
41.390625,27033
44.359375,27015
50.984375,26963
54.765625,26966
58.3984375,26966
61.9765625,26967
65.21875,26979
68.953125,27008
72.9609375,27056
77.0703125,26940
81.21875,26926
83.9765625,26948
88.2734375,26931
91.5703125,26920
95.5078125,26928
101.1640625,27037
103.921875,27047
111.625,26965
115.171875,26959
122.9921875,27075
127.453125,27032
130.8046875,27097
138.75,26999
141.3046875,27007
149.2578125,26938
152.9453125,26935
156.7578125,26932
162.9375,27035
166.359375,27061
169.7265625,27090
172.7890625,27087
175.1875,27085
179.015625,27036
182.6171875,26987
186.8203125,26999
189.9765625,26995
193.6015625,26999
197.734375,27004
201.1875,27005
204.3125,27006
208.5078125,26996
212.5,26999
215.4453125,26995
218.5078125,26993
222.4921875,26997
225.296875,27042
228.7421875,26984
232.1953125,26926
235.53125,26922
239.21875,26923
243.2578125,26922
246.328125,26922
250.3203125,26925
253.375,26919
257.1796875,26909
263.65625,27086
266.8515625,27054
272.828125,27033
275.8515625,27041
303.96875,26999
306.484375,27060
310.0078125,27040
313.890625,27030
317.2578125,27032
320.5078125,27024
325.0234375,27086
328.4296875,27047
331.1953125,27057
335.078125,27086
337.0234375,27101
340.453125,27137
343.375,27092
347.6875,26932
350.9765625,26927
353.71875,26920
357.25,26898
360.671875,26972
367.265625,26915
370.875,26949
373.078125,26936
378.78125,27078
382.21875,27022
386.2265625,27017
390.3828125,27024
394.09375,27017
397.7109375,27019
401.1953125,27031
404.84375,27027
408.5703125,27028
411.640625,27101
414.6640625,26984
417.140625,27040
422.140625,27008
425.75,27002
429.6328125,26987
434.75,26980
438.1171875,26981
442.53125,26980
446.59375,26987
450.7109375,26962
454.8046875,26972
458.6875,26975
461.8515625,26984
466.484375,26973
469.8828125,26993
473.984375,26983
478.09375,26983
482.53125,26985
486.1796875,26990
490.0546875,26973
494.546875,26973
498.5703125,26975
502.6171875,26972
506.25,26970
510.8515625,26983
515.65625,27097
518.109375,27063
521.6640625,27086
525.6640625,27101
529.1875,27095
532.0859375,27105
535.1796875,27101
538.7734375,27090
541.0,27080
545.6015625,27085
550.1015625,27087
553.8984375,27089
557.859375,27094
561.390625,27091
564.8125,27099
568.6171875,27099
572.5703125,27105
576.1796875,27103
579.9375,27097
583.421875,27081
587.59375,27127
591.4609375,27117
595.7421875,27108
600.1171875,27105
603.9140625,27102
611.328125,27091
615.25,27081
618.8125,27094
626.34375,27109
629.640625,27115
633.3671875,27116
636.3671875,27124
639.3046875,27131
647.4765625,27100
650.8203125,27119
655.1015625,27111
658.0546875,27114
662.640625,27161
666.6328125,27159
670.9453125,27123
674.5546875,27126
678.3515625,27149
681.78125,27121
685.0234375,27125
688.328125,27094
691.59375,27112
694.8203125,27105
698.3046875,27116
701.0234375,27113
704.2265625,27116
707.484375,27121
711.125,27119
714.59375,27117
720.375,27130
725.796875,27143
729.96875,27155
734.46875,27118
737.265625,27119
742.1953125,27186
753.9453125,27162
757.2578125,27115
764.96875,27121
770.9140625,27099
775.03125,27106
778.7578125,27139
782.421875,27127
786.5234375,27124
789.75,27109
792.984375,27079
799.328125,27078
802.953125,27046
810.7421875,27113
813.7578125,27129
816.9375,27134
820.1015625,27141
825.71875,27124
831.6875,27080
837.0,27112
838.9453125,27120
842.5859375,27116
846.5859375,27109
848.890625,27104
852.9296875,27110
855.5703125,27104
860.28125,27092
865.4375,27102
867.34375,27032
872.6171875,27012
876.75,26995
882.1953125,27025
885.640625,34946
892.2109375,27025
896.0234375,26978
903.1640625,26968
905.96875,26966
923.25,26976
929.859375,26975
934.03125,26980
940.1484375,26997
949.71875,26971
957.171875,27044
962.2578125,27004
968.5859375,27001
972.4609375,27006
976.0234375,27007
980.2421875,27004
985.203125,27025
994.1796875,27000
998.171875,27001
1004.1875,26992
1008.0,27005
1010.515625,27012
1018.8203125,27005
1022.3046875,26992
1028.5625,26985
1032.34375,26993
1038.3515625,26993
1043.71875,26989
1048.9765625,27075
1051.828125,27090
1055.5234375,26902
1061.1953125,26985
1068.4375,27072
1071.6953125,27067
1075.4375,27064
1078.3125,27056
1082.015625,27054
1084.828125,27075
1087.796875,27076
1090.796875,27085
1093.921875,27056
1096.46875,27085
1099.65625,27099
1102.6484375,27094
1105.2890625,27109
1109.1171875,27076
1112.5078125,27089
1116.4296875,27083
1119.453125,27087
1122.703125,27118
1125.3046875,27078
1132.2890625,27074
1135.1640625,27488
1145.359375,27112
1148.0,27111
1152.2421875,27090
1155.6953125,27092
1157.984375,34957
1161.7890625,27067
1165.1796875,27065
1167.84375,27045
1170.7890625,27069
1173.7265625,27106
1175.9375,27043
1178.4375,27062
1181.2265625,27050
1183.9375,27047
1187.6015625,27060
1190.2265625,27051
1192.671875,27040
1196.71875,27054
1199.3984375,27046
1202.0625,27055
1204.953125,27082
1207.109375,27066
1210.0,27070
1213.1875,27094
1215.5,27078
1218.71875,27064
1221.546875,27057
1224.828125,27073
1228.0859375,27065
